Title,Description,Source,Published At
Paris votes to crack down on SUVs,"Parisians have voted to increase parking charges for out-of-town SUV drivers as part of the city’s efforts to address road safety, air pollution, and climate change.",The Verge,2024-02-05T12:24:14Z
NASA’s new mission will study microscopic plankton and aerosols from space,"A new NASA mission will study microscopic plant life and particles from space to gather data on climate change, air quality, and ocean health.",The Verge,2024-02-08T19:12:39Z
Inside the Beef Industry’s Campaign to Influence Schoolchildren,Big Beef is wooing science teachers with webinars and lesson plans in an attempt to change students’ perceptions of the industry.,Wired,2024-02-01T12:00:00Z
Why a Supreme Court decision on fishing boats could change everything,"The Supreme Court is poised to gut a key legal doctrine called Chevron deference, potentially making it harder for federal agencies to regulate industries from guns to fossil fuels to broadband.",The Verge,2024-01-20T13:00:00Z
The Fossil Fuel Industry Knew About Climate Change Since 1954,"The Guardian reports:

The fossil fuel industry funded some of the world's most foundational climate science as early as 1954, newly unearthed documents have shown, including the early research of Charles Keeling, famous for the so-called ""Keeling curve"" that…",Slashdot.org,2024-02-04T12:34:00Z
Climate Change Cripples Panama Canal. Fixing it Could Take Years,"""Parched conditions have crippled a waterway that handles $270 billion a year in global trade,"" reports Bloomberg. ""And there are no easy solutions. 

""The Panama Canal Authority is weighing potential fixes that include an artificial lake to pump water into t…",Slashdot.org,2024-01-27T16:34:00Z
The World’s Essential Aquifers Are in Deep Trouble,"New research finds that the groundwater systems that hydrate your life are in rapid, sometimes accelerating decline around the globe. Here’s how to stop the retreat.",Wired,2024-01-24T16:00:00Z
Your next plane ride could be powered by used cooking oil. Here's how a refinery in Singapore is already helping to make it happen.,The vice president of a renewable fuels company explains how sustainable aviation fuel (SAF) will impact aviation and climate change.,Business Insider,2024-02-02T15:54:57Z
World's first year-long breach of key 1.5C warming limit,"The last 12 months were the hottest on record, temporarily sending the world past a deeply symbolic mark.",BBC News,2024-02-08T03:00:18Z
Climate denialists find new ways to monetize disinformation on YouTube,Majority of climate-denial content posted now does not violate YouTube's policy.,Ars Technica,2024-01-16T20:19:02Z
"Scientists explore whether to add a ""Category 6"" designation for hurricanes","Climate change is making powerful hurricanes more common. That may require adding a new official designation for the more intense storms, a new study suggests.",NPR,2024-02-06T18:21:48Z
Scientists say hurricanes are growing so powerful that we need to add a Category 6. Here's what that would look like.,"The hurricane wind speed scale needs a new Category 6, scientists say, as climate change intensifies tropical storms. Here's what that'd be like.",Business Insider,2024-02-06T22:12:54Z
Hollywood has been giving out climate change-focused awards for 33 years. Who knew?,"Now in its 33rd year, the Environmental Media Awards might be the most celebrity-studded awards ceremony you've never heard of.",NPR,2024-01-27T10:00:35Z
"Climate Change Behind Africa Cholera Surge, Top Health Officials Say",Africa's top health advisory body links the devastating cholera outbreak to extreme weather made worse by climate change.,Time,2024-01-31T17:20:24Z
2024 Must Be the Year for Exponential Climate Action,Five steps to move the world forward on fighting climate change in 2024.,Time,2024-01-16T19:17:41Z
Europe farmers protests: EU scraps plans to halve pesticide use,The announcement appears to be a concession to farmers who have been protesting tighter regulations.,BBC News,2024-02-06T19:15:42Z
The Boeing 737 Max Crisis Reignites Arguments Over Infant Safety on Planes,"A midair blowout on a Boeing 737 Max 9 showed seatbelts matter, but infants under two still aren’t required to have their own seats. Experts say changing the rules would make flying safer for children—but, counterintuitively, would result in more deaths.",Wired,2024-01-12T17:51:35Z
"War and climate change are the main obstacles to aggressive Fed rate cuts in 2024, strategists say",Tumult in the Middle East and a parched Panama Canal risk creating pandemic-like supply shocks that could stoke more inflation.,Business Insider,2024-01-14T13:15:01Z
Lauren Boebert’s Hot Take On The Cold Weather Goes Embarrassingly Awry,The Colorado Republican was schooled over a climate change post on X.,HuffPost,2024-01-15T07:21:06Z
A Group of Trolling Gen-Z Voters Is Buying Up GOP Domains,"“Since Trump and Haley won’t accurately inform young people of their views, we will.”",Wired,2024-01-22T14:42:08Z
Apocalyptic Optimism Could Be the Antidote for Climate Fatalism,"If we embrace the reality that things will get worse before they get better, we will be equipped to fight climate change.",Time,2024-01-24T12:00:00Z
Why the war in Ukraine is bad for climate science,"The invasion of Ukraine hampered collaboration with Russian climate scientists. That's bad news for our collective ability to understand, and prepare for, a hotter planet.",NPR,2024-01-22T16:13:51Z
John Kerry steps down from Biden administration,John Kerry stepped down as Biden's special envoy on climate on Saturday.,Business Insider,2024-01-14T01:40:14Z
Banning Private Jets and Going to a 4-Day Work Week Are Radical—and Popular,This story was originally published by Grist. Sign up for Grist’s weekly newsletter here.Read more...,Gizmodo.com,2024-02-02T18:27:00Z
John Kerry Will Step Down To Help Biden Campaign: Reports,The former secretary of state had been working to fight climate change as part of the Biden administration.,HuffPost,2024-01-13T22:35:37Z
Amazon's record drought driven by climate change,The world's largest rainforest protects us from climate change but deforestation has left it vulnerable.,BBC News,2024-01-24T17:37:35Z
Inequality Is a Health Risk—and It’s Getting Worse,"If not addressed by governments, racism, classism, austerity, and more will continue to drive mortality and illness among minorities.",Wired,2024-01-19T12:00:00Z
It’s the World’s Biggest Election Year. Is Democracy Good for Climate Change?,2024 is the world's biggest election year. The need for climate action vs. widespread apathy toward it shows climate's democracy problem.,Time,2024-01-11T18:05:29Z
Earth 2.0°C: How to Make Passing the 1.5°C Climate Change Threshold An Opportunity,The reality is that we may be looking at a 2.0°C world. That doesn't mean we need to give up on fighting climate change.,Time,2024-01-22T16:06:16Z
Crypto mines will have to start reporting their energy use in the US,The US Energy Information Administration says it will start a survey of crypto mines’ electricity consumption following concerns about Bitcoin’s energy hunger and greenhouse gas emissions.,The Verge,2024-01-31T19:30:56Z
"At Davos, Conflict, Climate Change, and AI Get Top Billing as Leaders Converge for Elite Meeting",The to-do list of global priorities has grown for this year’s edition of the World Economic Forum gabfest that kicks off today.,Time,2024-01-15T13:40:10Z
Arnold Schwarzenegger detained over EU tax for luxury watch,The probe for alleged tax evasion came as the actor arrived in Munich on his way to an auction.,BBC News,2024-01-18T10:06:50Z
"The world hasn't been this warm in 100,000 years",Climate scientists were surprised by how high temperatures soared in 2023.,Business Insider,2024-01-11T21:36:25Z
"TIME and Outrider Announce New Fellowship Program to Support Reporting on Climate Change and the Intersection of Politics, Policy and Society","TIME Senior Correspondent Justin Worland Appointed as Fellow Today, TIME and the Outrider Foundation announced a new collaboration on a fellowship to support reporting on climate change and the intersection of politics, policy and society.  TIME senior corres…",Time,2024-01-11T18:30:20Z
"Atlantic Ocean currents may be on the verge of collapse, which could plunge Europe into a deep freeze, a new study shows","Scientists warn we're moving closer to a total collapse of the Atlantic Ocean's currents, which could plunge Europe's temperatures by 9 to 27 degrees.",Business Insider,2024-02-09T21:42:27Z
Who pays?,"Supply and demand are always in a dance, with one outpacing the other from time to time. In the last three years, the green tech revolution has accelerated dramatically. Countless companies are being created to change how food is grown, people are transported…",Seths.blog,2024-01-17T10:42:00Z
How Much of the World Is It Possible to Model?,"Dan Rockmore writes about mathematical models—including for COVID-19, climate change, and artificial intelligence—and whether they have limits.",The New Yorker,2024-01-15T11:00:00Z
There's another missing submersible: A $3.6 million vessel mysteriously disappeared near Antarctica's 'Doomsday Glacier',"There's another missing submersible: Scientists lost contact with a $3.6M sub revolutionizing climate science near Antarctica's ""Doomsday Glacier.""",Business Insider,2024-02-07T22:00:06Z
7 Ways to Deal With Climate Despair,Here's how climate-aware therapists help their clients cope.,Time,2024-02-06T14:33:55Z
"2023 Was Hottest Year Ever Recorded Globally, US Scientists Confirm","Last year was the hottest ever reliably recorded globally by a blistering margin, US scientists have confirmed, leaving researchers struggling to account for the severity of the heat and what it portends for the unfolding climate crisis. From a report: Last y…",Slashdot.org,2024-01-12T17:26:00Z
Meet the female force who halted a major development project to preserve her working-class neighborhood and make it a leader in clean energy,Elizabeth Yeampierre has helped preserve her neighborhood in Sunset Park from investors that could have pushed out the working class locals.,Business Insider,2024-01-13T10:07:01Z
Mozambique storms: How to cyclone-proof your life,Mozambicans learn to build stronger houses as climate change brings bigger and deadlier storms.,BBC News,2024-01-11T00:04:52Z
NASA’s New PACE Observatory Searches for Clues to Humanity’s Future,"They may be tiny, but phytoplankton and aerosols power pivotal Earth systems. Scientists are about to learn a whole lot more about them at a critical time.",Wired,2024-02-08T16:15:56Z
Could UK heatwaves be given names this summer?,"With global temperatures rising and heatwaves becoming more intense, could naming them help awareness?",BBC News,2024-02-01T10:42:21Z
The Sad Truth of the FTC's Location Data Privacy Settlement,"The FTC forced a data broker, X-Mode, to stop selling “sensitive location data.” But most companies can avoid such scrutiny by doing the bare minimum, exposing the lack of protections Americans truly have.",Wired,2024-01-16T12:00:00Z
The Roman Empire's Worst Plagues Were Linked to Climate Change,"Changes in the climate may have caused disruptions to Roman society that manifested as disease outbreaks, researchers have found",Scientific American,2024-01-26T19:00:00Z
RSPB Birdwatch 2024: Fewer wild birds visiting UK gardens,"Greenfinches, sparrows and starlings have declined the most but other species including goldfinches are thriving.",BBC News,2024-01-26T01:51:59Z
Man who claimed wildfires were a government conspiracy was setting them himself,"Brian Paré, 38, is a conspiracy theorist who posted claims that the government was deliberately setting wildfires to make people believe in climate change. But he was setting them himself, he ultimately admitted, forcing some 500 homes to be evacuated near Ch…",Boing Boing,2024-01-16T14:05:54Z
The Feeling of Losing Snow,A conversation with Zoë Schlanger on the sense of loss that comes when climate change transforms winter.,The Atlantic,2024-01-11T23:02:00Z
Winter Sports Are Gnarlier Than Ever,"Climate change, social media, and a pandemic-era obsession with the outdoors are pushing athletes into dangerous terrain.",The Atlantic,2024-01-31T19:49:33Z
How Your Old Wardrobe Can Fight Climate Change. Seriously.,"“Build a wardrobe that will last longer, won’t get stretched out, and will be of good enough quality that if it gets a hole, it’ll be worth repairing.”",Vice News,2024-01-30T12:00:00Z
World's First Year-Long Breach of Key 1.5C Warming Limit,"An anonymous reader quotes a report from the BBC: For the first time, global warming has exceeded 1.5C across an entire year, according to the EU's climate service. World leaders promised in 2015 to try to limit the long-term temperature rise to 1.5C, which i…",Slashdot.org,2024-02-09T03:30:00Z
Why NASA’s New Climate Satellite is Studying Clouds and Phytoplankton,NASA's new PACE satellite will study phytoplankton in the ocean and atmospheric aerosols to fill key climate data gaps.,Time,2024-02-05T17:47:24Z
Can Slowing Down Save the Planet?,"E. Tammy Kim on the Japanese philosopher Kohei Saito’s book “Slow Down: The Degrowth Manifesto,” which makes the case for communism as a climate-change solution.",The New Yorker,2024-02-01T11:00:00Z
NASA launches PACE satellite to observe Earth’s oceans and atmosphere,"NASA has launched its latest Earth-monitoring mission, a satellite that studies the atmosphere and the oceans, as well as their relationship to climate change.",Digital Trends,2024-02-08T18:16:25Z
U.S. Climate Envoy John Kerry Is Reportedly Stepping Down From the Biden Administration,"John Kerry, the U.S. special envoy on climate, is stepping down from the Biden Administration in the coming weeks, per reports.",Time,2024-01-14T11:27:57Z
Open Vehicle Monitoring System is the Window to Your EV’s Soul,"Electric cars have more widgets than ever, but manufacturers would rather you don’t have direct access to them. The Open Vehicle Monitoring System intends to change that for the user. …read more",Hackaday,2024-01-26T03:00:02Z
Cicadas Are Coming: Here's What We Know About Brood XIX and Brood XIII - CNET,"Get ready for double the cicada buzz in 2024, depending on where you live.",CNET,2024-01-22T23:00:03Z
Rising Temperatures Are Turning Some Animals Nocturnal,"As climate change makes the planet hotter, some animals might become more active at night to escape the midday heat",Scientific American,2024-01-31T14:00:00Z
Wildfire Science Gets a Boost from Worried Insurance Companies,"Wildfires have upended the insurance industry, in part because climate change is fueling bigger and more destructive blazes",Politicopro.com,2024-02-08T17:30:00Z
"Time, consquences and opportunities","Dreams have consequences Hisham Matar Time passes, decisions are made, we face the consequences or enjoy the benefits. A few books for this moment, about navigating our days, and the possibility of light. It bends toward justice. The Return, by Hisham Matar. …",Seths.blog,2024-01-15T09:13:00Z
Global Renewable Energy Growth Hits 25-Year High,IEA executive director Fatih Birol said renewables likely to increase by 2.5 times by 2030—but that's still not enough to hit climate goals.,Time,2024-01-11T14:45:41Z
Scientists discovered a surprising cooling trend on glaciers in Mount Everest 10 years ago. Now they think they know what's causing it.,"For the last 15 years, local temperatures have dropped on mountains like Mount Everest during warmer months. It could slow glacial melt, scientists say.",Business Insider,2024-02-06T15:12:02Z
I used to not worry about climate change. Now I do [video],Comments,YouTube,2024-01-27T16:41:19Z
Montana Supreme Court Upholds Landmark Ruling From Youth Climate Case,Montana's Supreme Court rejects attempt to block a ruling that said regulators must consider emissions when issuing fossil fuel permits.,Time,2024-01-17T21:25:34Z
"If you live in a colder climate, you need this powerful car windshield defroster, now $38!","TL;DR: Drivers in cold climates know the inconveniences caused by a chilly car and a frozen windshield. But now, it's easier than ever to get your car ready to move in the winter with this car windshield defroster, now only $37.99 (reg. — Read the rest 
The p…",Boing Boing,2024-01-18T16:00:00Z
Air Pollution Threatens Millions of Lives. Now the Sources Are Shifting,"As EPA tightens air pollution standards for particulate matter, new research suggests some components of that pollution could worsen with climate change",Scientific American,2024-02-08T16:30:00Z
The top 4 ways big corporations are fueling global wealth inequality: report,"As corporations focus their efforts on maximizing shareholder profits, they create increasingly dire circumstances for workers. Here's how.",Business Insider,2024-01-28T14:21:17Z
Demand for minerals sparks fear of mining abuses on Indigenous peoples' lands,There's a growing demand for minerals as the world ramps up manufacturing of climate solutions. Experts say more than half of these mining projects are on or near lands of Indigenous peoples.,NPR,2024-01-29T10:00:12Z
Why Some Companies Are Doubling Down on Climate Action,"The market is shifting, and, no matter what retail consumers do, big companies increasingly want to buy green.",Time,2024-02-09T15:21:42Z
'Massive Amounts' of Carbon Sequestered for Centuries Released By Clearing Indonesia's Peatland,"""Indonesia has been clearing tens of thousands of acres of densely vegetated peatland for farming, releasing massive amounts of carbon that had been sequestered below for centuries,"" reports the Washington Post, ""and destroying one of the Earth's most effecti…",Slashdot.org,2024-01-28T12:34:00Z
Science Is Using Mechanical Moss to Fight Climate Change on the Canary Islands,"On the Spanish&nbsp;archipelago of the Canary Islands,&nbsp;a group of researchers is racing to fight drought as the climate changes rapidly around them. Their&nbsp;defense is a&nbsp;new approach to a very, very old technology from nature.",Scientific American,2024-02-01T16:00:00Z
Lords urge action on electric car 'misinformation',The Lords Climate Change Committee called on the government to push back against mistruths on range and cost.,BBC News,2024-02-06T02:14:56Z
Pothole reports hit a five-year high in 2023,Climate change will worsen potholes but scientists hope new technology will help make them a thing of the past.,BBC News,2024-01-15T02:11:46Z
“Slow Change Can Be Radical Change”,"Rebecca Solnit writing in Literary Hub about the power and necessity of slow change:

I’ve found in my twenty-something year",kottke.org,2024-01-12T18:33:50Z
Climate Scientist Michael Mann Confronts Defamers in Court After 12-Year Delay,The trial comes as climate impacts and attacks on science and its practitioners are worse than ever.,Eos,2024-02-08T10:41:47Z
Visualizing Climate Disasters' Surprising Cascading Effects,See how climate disasters cause rippling effects far beyond the initial event,Scientific American,2024-01-29T15:00:00Z
This UK startup can capture 95% of a ship’s carbon emissions,"Like many of us, Alisha Fredriksson is terrified about climate change. But unlike many of us, she’s rolling up her sleeves and doing something about it.   Two years ago the young entrepreneur co-founded Seabound — a London-based startup on a mission to decarb…",The Next Web,2024-02-08T10:20:18Z
Thousands of U.S. Cities Could Become Virtual Ghost Towns by 2100,"These projected findings about depopulation in U.S. cities are shaped by a multitude of factors, including the decline of industry, lower birth rates and the impacts of climate change",Scientific American,2024-01-11T18:15:00Z
"Climate change threatens global forest carbon sequestration, study finds","Climate change is causing Western U.S. forests to be less effective carbon sinks, even as it boosts the productivity of forests in the Eastern U.S., according to new research.",Science Daily,2024-01-16T18:18:40Z
Turning Doctors into Climate Health Advocates Is Good for Patients,Harvard researchers found that most doctors and nurses who took a course in community organizing believed they could help combat climate change’s negative impacts on health,Politicopro.com,2024-01-23T19:30:00Z
2024 Had the Hottest January on Record Following 2023’s Hottest Year on Record,2023 was the hottest year on record. Experts are already predicting 2024 will beat its extremely high temperatures.,Time,2024-02-08T05:00:00Z
"Our ‘Grey Swan’ Climate Crisis: Nonlinear, Predictable, and Unprecedented","Zoë Schlanger writing for the Atlantic: Prepare for a ‘Gray Swan’ Climate.

The way to think about climate change now is through t",kottke.org,2024-01-26T22:26:54Z
Alphabet's Moonshot X Lab Cuts Staff,"Alphabet's lab for pioneering technology is laying off dozens of employees as it turns to outside investors to help fund its ventures. From a report: The division, known as X, has in recent months ramped up discussions on funding with venture capitalists and …",Slashdot.org,2024-01-22T21:20:00Z
Jury awards climate scientist Michael Mann $1M in defamation lawsuit,"A jury on Thursday in Washington, D.C. said climate scientist Michael Mann was defamed 12 years ago when a pair of conservative writers compared his depictions of global warming to a convicted child molester. The jury awarded him $1 million. Mann, a professor…",Associated Press,2024-02-09T14:53:06Z
Exxon Takes Activists To Court Over Emissions Proposal,"Exxon Mobil has filed a complaint in a Texas court seeking to block a climate proposal by activist investors from a shareholder vote in May. This marks Exxon's first legal action against such a proposal. Exxon argues the proposal, which urges adoption of emis…",Slashdot.org,2024-01-22T18:40:00Z
How are atmospheric rivers affected by climate change?,California is in the grips of an atmospheric river that's causing flooding all over the state. Climate change might be intensifying storms like it — but scientists are still working out the details.,NPR,2024-02-06T10:00:48Z
"Climate Concern Grows Nationwide, Even in Some Republican States",A national survey shows Americans are increasingly worried about global warming. But partisan politics continues to drive a wedge between red and blue states,Politicopro.com,2024-01-24T17:30:00Z
What is the Pineapple Express and why has it drenched California?,The record rain pounding California is part of a common weather pattern.,BBC News,2024-02-06T17:30:15Z
New NASA Earth Science Mission Could Change the Way We See Our Planet,"NASA’s PACE mission aims to increase our understanding of Earth’s carbon cycle, pollution particles and ocean plankton",Politicopro.com,2024-02-05T20:00:00Z
World’s largest carbon capture plant is UK’s ‘next big white elephant’,"In a move that has sparked widespread criticism from scientists and politicians alike, the UK government has approved plans to install carbon capture technology at Britain’s largest power plant. Under the plans, power generator Drax will install so-called bio…",The Next Web,2024-01-18T12:23:12Z
"Lawmakers are trying to keep meatpacking giant JBS from trading on NYSE, citing links to deforestation","A bipartisan group of lawmakers, along with environmental groups, say they fear more environmental harm if JBS gains access to additional capital.",Business Insider,2024-01-18T23:28:37Z
AI's Climate Impacts May Hit Marginalized People Hardest,A Brookings Institution report warns that energy-hungry artificial intelligence tech will worsen the climate crisis,Politicopro.com,2024-01-31T21:45:00Z
"Beyond the Doom and Gloom, Here's How to Stimulate Climate Action","A gloom and doom approach does not always spur climate action, it turns out. A new study tells you when it works and when it doesn’t",Scientific American,2024-02-08T12:00:00Z
Siberia’s mysterious exploding craters may be caused by hot gas,"Several enormous craters left by explosions have been spotted in Siberia over the past 15 years, and a new explanation links them to hot gas – and climate change",New Scientist,2024-01-15T08:00:20Z
"Climate activist Greta Thunberg on trial in London for blocking oil, gas conference",Climate activist Greta Thunberg is on trial for protesting outside a major oil and gas industry conference in London last year,ABC News,2024-02-01T13:42:38Z
California’s Climate Has Come Unmoored,The weather of catastrophe is here.,The Atlantic,2024-02-07T17:29:10Z
Climate change is making it harder for trees to ‘breathe’,"A new study highlights just how much climate change is affecting our trees. According to new research, which was recently published in Proceedings of the …
The post Climate change is making it harder for trees to ‘breathe’ appeared first on BGR.",BGR,2024-02-03T15:33:00Z
Living Through the End of California,"In a new book, Manjula Martin faces up to the way the altered environment of her home state will change her life forever.",The Atlantic,2024-02-02T14:12:27Z
"Big Tech's CES 2024 Sustainability Goals: More Recycled Materials, Longer Lifespans - CNET",Tech companies are feeling more pressure to adopt more impactful sustainability strategies.,CNET,2024-01-13T13:00:11Z
