"climate","john","gas","biden","bidens","fox","kerrys","new","natural","president","senate","green","energy","federal","first","eco","house","confirmation","digital","news"
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0
2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0
1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
